TOKEN	NER	de_core_news_sm--03-26-06-08-38	/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17	dbmdz/bert-base-german-cased--03-26-06-43-39	/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24	dbmdz/flair-historic-ner-onb--03-26-08-44-50	dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54
dann	O	O	O	O	O	O	O
gegen	O	O	O	O	O	O	O
Gottes	O	O	O	B-LOC	O	O	O
Wort	O	O	O	O	O	O	O
?	O	O	O	B-PER	O	O	O
							
Daß	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
ihm	O	O	O	O	O	O	O
nicht	O	O	O	O	O	O	O
entgegen	O	O	O	O	O	O	O
bezeuget	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Ermahnung	O	O	O	O	O	O	O
Anne-Kathrin	B-PER	O	O	O	B-PER	B-PER	O
:	O	O	O	B-LOC	O	I-PER	O
							
In	O	O	O	B-PER	O	O	O
me	O	O	O	B-LOC	O	O	O
intuentes	O	O	O	O	O	O	O
discite	O	O	O	O	O	O	O
Harmoniam	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
colite	O	O	O	O	O	O	O
concordiam	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Mene	O	O	O	B-LOC	O	O	O
Mene	O	O	O	O	O	O	O
Tekel	O	O	O	O	O	B-PER	O
Upharsin	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
vergiß	O	O	O	B-PER	O	O	O
der	O	O	O	O	O	O	O
heiligen	O	O	O	B-LOC	O	O	O
Verrichtungen	O	O	O	B-PER	O	O	O
in	O	O	O	O	O	O	O
demselben	O	O	O	B-LOC	O	O	O
nicht	O	O	O	B-PER	O	O	O
!	O	O	O	O	O	O	O
							
bald	O	O	O	B-PER	O	O	O
den	O	O	O	O	O	O	O
Affect	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
Sehnsucht	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
des	O	O	O	O	O	O	O
Verlangens	O	O	O	B-LOC	O	O	O
nach	O	O	O	B-PER	O	O	O
dem	O	O	O	B-LOC	O	O	O
Ewigen	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
So	O	O	O	B-LOC	O	O	O
zeuget	O	O	O	B-PER	O	O	O
Hasan	B-PER	B-PER	O	B-LOC	B-PER	B-PER	B-PER
von	O	I-PER	O	O	O	O	O
dem	O	I-PER	O	O	O	O	O
König	O	I-PER	O	O	O	O	O
vnnd	O	O	O	B-PER	O	O	O
Propheten	O	O	O	B-LOC	O	O	O
David	O	B-PER	B-PER	O	B-PER	B-PER	B-PER
Cap	O	I-PER	O	O	O	O	O
47	O	O	O	O	O	O	O
Henri	B-PER	B-PER	O	O	B-PER	O	O
stifftet	O	O	O	O	O	O	O
Sänger	O	O	O	O	O	O	O
bey	O	O	O	B-PER	O	O	O
dem	O	O	O	O	O	O	O
Altar	O	O	O	B-LOC	O	O	O
vnnd	O	O	O	B-PER	O	O	O
ließ	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
seine	O	O	O	B-PER	O	O	O
süsse	O	O	O	B-LOC	O	O	O
Lieder	O	O	O	O	O	O	O
singen	O	O	O	B-PER	O	O	O
Vnnd	O	O	O	B-LOC	O	O	O
ordnet	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Feyertage	O	O	O	O	O	O	O
herrlich	O	O	O	B-PER	O	O	O
zu	O	O	O	O	O	O	O
halten	O	O	O	O	O	O	O
Vnd	O	O	O	O	O	O	O
daß	O	O	O	O	O	O	O
man	O	O	O	B-LOC	O	O	O
die	O	O	O	O	O	O	O
Jahrfest	O	O	O	O	O	O	O
schön	O	O	O	B-PER	O	O	O
begehen	O	O	O	O	O	O	O
solte	O	O	O	B-LOC	O	O	O
mit	O	O	O	O	O	O	O
loben	O	O	O	O	O	O	O
den	O	O	O	B-PER	O	O	O
Namen	O	O	O	O	O	O	O
des	O	O	O	O	O	O	O
Herrn	O	O	O	B-LOC	O	O	O
vnd	O	O	O	B-PER	O	O	O
mit	O	O	O	O	O	O	O
singen	O	O	O	B-LOC	O	O	O
des	O	O	O	O	O	O	O
morgens	O	O	O	O	O	O	O
im	O	O	O	B-PER	O	O	O
Heiligthumb	O	O	O	O	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Dahin	O	O	O	I-LOC	O	O	O
auch	O	O	O	B-PER	O	O	O
einige	O	O	O	B-LOC	O	O	O
ziehen	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
was	O	O	O	O	O	O	O
Jos	O	B-PER	O	O	O	B-PER	O
10	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
12	O	O	O	O	O	O	O
stehet	O	O	O	B-PER	O	O	O
:	O	O	O	B-LOC	O	O	O
							
20	O	O	O	I-LOC	O	O	O
,	O	O	O	O	O	O	O
28	O	O	O	O	O	O	O
So	O	O	O	O	O	O	O
habt	O	O	O	O	O	O	O
nun	O	O	O	O	O	O	O
acht	O	O	O	O	O	O	O
auf	O	O	O	O	O	O	O
euch	O	O	O	B-PER	O	O	O
selbst	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
auf	O	O	O	O	O	O	O
gantze	O	O	O	O	O	O	O
Heerd	O	B-PER	O	O	O	O	O
über	O	O	O	O	O	O	O
welche	O	O	O	O	O	O	O
euch	O	O	O	B-PER	O	O	O
der	O	O	O	B-LOC	O	O	O
H	O	O	O	O	O	O	O
Geist	O	O	O	O	O	O	O
gesetzet	O	O	O	B-PER	O	O	O
hat	O	O	O	B-LOC	O	O	O
zu	O	O	O	O	O	O	O
Bischoffen	O	B-LOC	O	O	O	O	O
zu	O	O	O	O	O	O	O
weiden	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Gemeine	O	O	O	O	O	O	O
Gottes	O	O	O	O	O	O	O
welche	O	O	O	O	O	O	O
er	O	O	O	B-PER	O	O	O
durch	O	O	O	O	O	O	O
sein	O	O	O	O	O	O	O
eigen	O	O	O	B-LOC	O	O	O
Blut	O	O	O	O	O	O	O
erworben	O	O	O	B-PER	O	O	O
hat	O	O	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
Gordana	B-PER	B-LOC	O	B-LOC	B-PER	B-LOC	B-PER
4	O	O	O	O	O	O	O
v	O	O	O	O	O	O	O
15	O	O	O	O	O	O	O
Du	O	O	O	O	O	O	O
stolzirest	O	O	O	O	O	O	O
aber	O	O	O	O	O	O	O
doch	O	O	O	O	O	O	O
umsunst	O	O	O	O	O	O	O
dann	O	O	O	O	O	O	O
dein	O	O	O	B-PER	O	O	O
Leben	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
nur	O	O	O	O	O	O	O
Erden	O	O	O	O	O	O	O
Dunst	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Svavi	O	O	O	B-PER	B-PER	B-PER	O
invitata	O	O	O	B-LOC	O	O	O
dulcedine	O	O	O	B-PER	O	O	O
spiritualis	O	O	O	O	O	O	O
infunditur	O	O	O	O	O	O	O
gratia	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
durch	O	O	O	O	O	O	O
süssen	O	B-LOC	O	O	O	O	O
klang	O	O	O	O	O	O	O
vnd	O	O	O	B-PER	O	O	O
lieblich	O	O	O	B-LOC	O	O	O
Gsang	O	O	O	O	O	O	O
wird	O	O	O	B-PER	O	O	O
Gottes	O	B-LOC	O	B-LOC	O	O	O
Gnad	O	I-LOC	O	O	O	B-PER	O
vnd	O	O	O	B-PER	O	O	O
der	O	O	O	B-LOC	O	O	O
heilig	O	O	O	O	O	O	O
Geist	O	O	O	O	O	O	O
gsandt	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Es	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
hie	O	O	O	O	O	O	O
kein	O	O	O	B-PER	O	O	O
Unterscheid	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Knecht	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O
fromm	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
sein	O	O	O	O	O	O	O
Herr	O	O	O	B-LOC	O	O	O
so	O	O	O	O	O	O	O
sind	O	O	O	O	O	O	O
sie	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O
auch	O	O	O	B-PER	O	O	O
nach	O	O	O	O	O	O	O
ihrem	O	O	O	O	O	O	O
geistlichen	O	O	O	B-LOC	O	O	O
Klange	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O
alle	O	O	O	O	O	O	O
einer	O	O	O	B-PER	O	O	O
in	O	O	O	B-LOC	O	O	O
Cemil	B-PER	B-LOC	O	O	O	B-LOC	O
Langern	I-PER	O	O	B-PER	O	O	O
Gal	O	B-PER	O	B-LOC	O	O	O
III	O	I-PER	O	O	O	O	O
28	O	O	O	O	O	O	O
Denn	O	O	O	O	O	O	O
wie	O	O	O	O	O	O	O
eine	O	O	O	O	O	O	O
Pfeiffe	O	O	O	O	O	O	O
nicht	O	O	O	B-PER	O	O	O
darumb	O	O	O	B-LOC	O	O	O
für	O	O	O	B-PER	O	O	O
eine	O	O	O	B-LOC	O	O	O
Pfeiffe	O	O	O	O	O	O	O
gehalten	O	O	O	B-PER	O	O	O
wird	O	O	O	O	O	O	O
weil	O	O	O	O	O	O	O
sie	O	O	O	O	O	O	O
Silbern	O	O	O	O	O	O	O
oder	O	O	O	O	O	O	O
Zinnern	O	O	O	B-LOC	O	O	O
(	O	O	O	O	O	O	O
denn	O	O	O	B-PER	O	O	O
sonst	O	O	O	O	O	O	O
müste	O	O	O	O	O	O	O
die	O	O	O	B-LOC	O	O	O
hölzerne	O	O	O	B-PER	O	O	O
keine	O	O	O	O	O	O	O
Pfeiffe	O	O	O	B-LOC	O	O	O
seyn	O	O	O	O	O	O	O
)	O	O	O	B-PER	O	O	O
sondern	O	O	O	O	O	O	O
weil	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
klinget	O	O	O	O	O	O	O
wie	O	O	O	B-PER	O	O	O
eine	O	O	O	B-LOC	O	O	O
Pfeiffe	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
17	O	O	O	B-PER	O	O	O
T	O	O	O	B-LOC	O	O	O
10	O	O	O	O	O	O	O
f	O	O	O	O	O	O	O
343	O	O	O	O	O	O	O
redet	O	O	O	O	O	O	O
alwo	O	O	O	O	O	O	O
man	O	O	O	O	O	O	O
nicht	O	O	O	O	O	O	O
wird	O	O	O	B-PER	O	O	O
beten	O	O	O	B-LOC	O	O	O
sondern	O	O	O	O	O	O	O
allein	O	O	O	O	O	O	O
loben	O	O	O	O	O	O	O
Jhn	O	O	O	O	O	O	O
ewig	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
unauffhörlich	O	O	O	O	O	O	O
einstimmig	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
einhellig	O	O	O	O	O	O	O
loben	O	O	O	O	O	O	O
werde	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Mit	O	O	O	I-LOC	O	O	O
deiner	O	O	O	B-PER	O	O	O
Hand	O	O	O	B-LOC	O	O	O
hastu	O	O	O	B-PER	O	O	O
dieses	O	O	O	O	O	O	O
Hauß	O	O	O	B-LOC	O	O	O
mit	O	O	O	B-PER	O	O	O
reiner	O	O	O	O	O	O	O
unverfälschter	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
deinem	O	O	O	O	O	O	O
Wort	O	O	O	B-LOC	O	O	O
gegründeten	O	O	O	B-PER	O	O	O
Lehre	O	O	O	B-LOC	O	O	O
erfüllet	O	O	O	B-PER	O	O	O
:	O	O	O	B-LOC	O	O	O
							
Wer	O	O	O	I-LOC	O	O	O
will	O	O	O	B-PER	O	O	O
aber	O	O	O	B-LOC	O	O	O
heut	O	O	O	B-PER	O	O	O
zu	O	O	O	B-LOC	O	O	O
tage	O	O	O	O	O	O	O
weisen	O	O	O	B-PER	O	O	O
wie	O	O	O	B-LOC	O	O	O
die	O	O	O	O	O	O	O
erste	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Paola	B-PER	O	O	O	B-PER	B-PER	O
mit	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
Seinigen	O	O	O	O	O	O	O
erfunden	O	O	O	O	O	O	O
ausgesehen	O	O	O	B-PER	O	O	O
?	O	O	O	B-LOC	O	O	O
							
4	O	O	O	I-LOC	O	O	O
und	O	O	O	O	O	O	O
11	O	O	O	O	O	O	O
Music	O	O	O	O	O	O	O
Verständigen	O	O	O	O	O	O	O
halten	O	O	O	B-PER	O	O	O
sie	O	O	O	B-LOC	O	O	O
ein	O	O	O	B-PER	O	O	O
gut	O	O	O	B-LOC	O	O	O
Theil	O	O	O	O	O	O	O
unser	O	O	O	B-PER	O	O	O
heutigen	O	O	O	B-LOC	O	O	O
Harffe	O	O	O	O	O	B-LOC	O
gleich	O	O	O	B-PER	O	O	O
daher	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
auch	O	O	O	B-PER	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Gestalt	O	O	O	O	O	O	O
eines	O	O	O	O	O	O	O
Triangels	O	O	O	B-LOC	O	O	O
hin	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
wieder	O	O	O	O	O	O	O
gemahlet	O	O	O	O	O	O	O
wird	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
nicht	O	O	O	I-LOC	O	O	O
wir	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
sondern	O	O	O	O	O	O	O
das	O	O	O	O	O	O	O
Lamm	O	O	O	O	O	O	O
Gottes	O	O	O	O	O	B-PER	O
hat	O	O	O	O	O	O	O
bey	O	O	O	B-PER	O	O	O
manchem	O	O	O	B-LOC	O	O	O
Widerstand	O	O	O	O	O	O	O
gesieget	O	O	O	O	O	O	O
!	O	O	O	O	O	O	O
							
O	O	O	O	B-LOC	O	O	O
was	O	O	O	O	O	O	O
Respect	O	O	O	O	O	O	O
hat	O	O	O	B-PER	O	O	O
nicht	O	O	O	B-LOC	O	O	O
allerseits	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Schönheit	O	O	O	O	O	O	O
!	O	O	O	B-PER	O	O	O
							
sagt	O	O	O	B-LOC	O	O	O
Thilo	B-PER	B-PER	O	B-PER	B-PER	B-PER	B-PER
Pechel	I-PER	I-PER	O	O	O	O	O
Orat	O	I-PER	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
Uns	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
es	O	O	O	O	O	O	O
nicht	O	O	O	O	O	O	O
erlaubt	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Frage	O	O	O	O	O	O	O
spitzfindig	O	O	O	B-PER	O	O	O
zu	O	O	O	O	O	O	O
untersuchen	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
weßwegen	O	O	O	B-PER	O	O	O
Gott	O	O	O	B-LOC	O	B-PER	O
nicht	O	O	O	B-PER	O	O	O
andere	O	O	O	B-LOC	O	O	O
dieser	O	O	O	B-PER	O	O	O
Gnade	O	O	O	O	O	O	O
würdige	O	O	O	O	O	O	O
und	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
dem	O	O	O	B-PER	O	O	O
Christenthume	O	O	O	B-LOC	O	O	O
durch	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Taufe	O	O	O	O	O	O	O
einverleibe	O	O	O	B-PER	O	O	O
?	O	O	O	O	O	O	O
							
Mundi	O	B-LOC	O	B-LOC	O	B-PER	O
in	O	O	O	O	O	O	O
dem	O	O	O	O	O	O	O
2	O	O	O	O	O	O	O
Cap	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Landschafft	O	B-LOC	O	B-LOC	O	O	O
Alesia	B-LOC	I-LOC	B-LOC	O	B-LOC	B-LOC	B-PER
eine	O	O	O	B-PER	O	O	O
grosse	O	O	O	O	O	O	O
See	O	O	O	B-LOC	O	O	O
vorhanden	O	O	O	B-PER	O	O	O
welche	O	O	O	O	O	O	O
sich	O	O	O	O	O	O	O
niemahlen	O	O	O	B-LOC	O	O	O
ergiesse	O	O	O	O	O	O	O
es	O	O	O	O	O	O	O
sey	O	B-PER	O	B-PER	O	O	O
denn	O	O	O	O	O	O	O
daß	O	O	O	O	O	O	O
sie	O	O	O	O	O	O	O
mit	O	O	O	B-LOC	O	O	O
Musicken	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
Sayten	O	O	O	B-LOC	O	O	O
Spiel	O	O	O	O	O	O	O
dazu	O	O	O	B-PER	O	O	O
beweget	O	O	O	O	O	O	O
werde	O	O	O	O	O	O	O
:	O	O	O	B-LOC	O	O	O
							
Denn	O	O	O	I-LOC	O	O	O
es	O	O	O	O	O	O	O
sind	O	O	O	O	O	O	O
zweyerley	O	O	O	O	O	O	O
art	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Instrumenten	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
Markus	B-PER	B-LOC	O	O	B-PER	O	O
zeiten	O	O	O	O	O	O	O
im	O	O	O	O	O	O	O
brauch	O	O	O	O	O	O	O
gewesen	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
quando	O	O	O	B-PER	O	O	O
oratio	O	O	O	O	O	O	O
Musica	O	O	O	B-LOC	O	O	O
ad	O	O	O	B-PER	O	O	O
rationes	O	O	O	B-LOC	O	O	O
metricas	O	O	O	O	O	O	O
ad	O	O	O	B-PER	O	O	O
Instrumentum	O	O	O	B-LOC	O	O	O
pulsatur	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
wann	O	O	O	O	O	O	O
ein	O	O	O	O	O	O	O
stuck	O	O	O	O	O	O	O
auff	O	B-PER	O	O	O	O	O
einem	O	O	O	O	O	O	O
Jnstrument	O	O	O	O	O	O	O
geschlagen	O	O	O	O	O	O	O
oder	O	O	O	B-PER	O	O	O
wie	O	O	O	B-LOC	O	O	O
es	O	O	O	O	O	O	O
Sahin	B-PER	B-PER	O	O	B-PER	B-PER	O
,	O	O	O	O	O	O	O
der	O	O	O	B-PER	O	O	O
ein	O	O	O	O	O	O	O
älterer	O	O	O	B-LOC	O	O	O
Pater	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
Basilius	O	B-PER	B-PER	B-LOC	B-PER	O	B-PER
,	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Vorrede	O	O	O	O	O	O	O
vber	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Psalmen	O	O	O	O	O	O	O
eygentlicher	O	O	O	B-PER	O	O	O
erkläret	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
was	O	O	O	B-LOC	O	O	O
wolt	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Keichen	O	O	O	B-PER	O	O	O
Latomiæ	O	O	O	B-LOC	O	B-PER	O
seyn	O	O	O	B-PER	O	O	O
in	O	O	O	B-LOC	O	O	O
dero	O	O	O	O	O	O	O
Traudel	B-PER	O	O	O	O	O	O
wegen	O	O	O	O	O	O	O
Abscheulichkeit	O	O	O	O	O	O	O
des	O	O	O	O	O	O	O
Orths	O	O	O	O	O	O	O
ihme	O	O	O	O	O	O	O
selbst	O	O	O	B-PER	O	O	O
den	O	O	O	B-LOC	O	O	O
Fuß	O	O	O	O	O	O	O
abgeschnitten	O	O	O	B-PER	O	O	O
denselben	O	O	O	B-LOC	O	O	O
sambt	O	O	O	O	O	O	O
dem	O	O	O	B-PER	O	O	O
Eysen	O	B-LOC	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Gefängnuß	O	B-LOC	O	B-PER	O	O	O
gelassen	O	O	O	B-LOC	O	O	O
vnd	O	O	O	O	O	O	O
sich	O	O	O	B-PER	O	O	O
in	O	O	O	B-LOC	O	O	O
die	O	O	O	O	O	O	O
Flucht	O	O	O	O	O	O	O
begeben	O	O	O	O	O	O	O
?	O	O	O	B-PER	O	O	O
							
Was	O	O	O	B-LOC	O	O	O
werden	O	O	O	B-PER	O	O	O
wir	O	O	O	O	O	O	O
essen	O	O	O	O	O	O	O
?	O	O	O	O	O	O	O
							
Man	O	O	O	B-LOC	O	O	O
muß	O	O	O	B-PER	O	O	O
billig	O	O	O	B-LOC	O	O	O
eine	O	O	O	B-PER	O	O	O
künstliche	O	O	O	B-LOC	O	O	O
Orgel	O	O	O	B-PER	O	O	O
unter	O	O	O	O	O	O	O
die	O	O	O	B-LOC	O	O	O
Gaben	O	O	O	B-PER	O	O	O
und	O	O	O	O	O	O	O
Wolthaten	O	O	O	B-LOC	O	O	O
Gottes	O	O	O	O	O	B-PER	O
zehlen	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
Gottseelige	O	O	O	B-LOC	O	O	O
Könige	O	O	O	B-PER	O	O	O
sonderlich	O	O	O	O	O	O	O
Concetta	B-PER	B-PER	O	B-LOC	O	B-PER	O
Immo	B-PER	I-PER	O	O	O	O	O
vnd	O	O	O	B-PER	O	O	O
Thea	B-PER	O	O	B-LOC	B-PER	B-PER	O
auch	O	O	O	B-PER	O	O	O
erhalten	O	O	O	O	O	O	O
oder	O	O	O	O	O	O	O
von	O	O	O	B-LOC	O	O	O
newem	O	O	O	O	O	O	O
wider	O	O	O	O	O	O	O
angeordnet	O	O	O	O	O	O	O
vnd	O	O	O	B-PER	O	O	O
Aneta	B-PER	B-PER	O	B-LOC	B-PER	B-PER	O
hat	O	O	O	O	O	O	O
nach	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Babylonischen	O	O	O	O	O	O	O
Gefängnus	O	O	O	O	O	O	O
dieselbige	O	O	O	O	O	O	O
ernewert	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
Und	O	O	O	B-LOC	O	O	O
weil	O	O	O	O	O	O	O
Sandra	B-PER	B-PER	O	O	B-PER	B-PER	B-PER
und	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Propheten	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
die	O	O	O	O	O	O	O
erst	O	O	O	B-LOC	O	O	O
ausgesandte	O	O	O	O	O	O	O
Knechte	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Menschen	O	O	O	O	O	O	O
nicht	O	O	O	B-PER	O	O	O
vermochten	O	O	O	O	O	O	O
zu	O	O	O	B-LOC	O	O	O
überreden	O	O	O	B-PER	O	O	O
sandte	O	O	O	B-LOC	O	O	O
der	O	O	O	B-PER	O	O	O
Herr	O	O	O	B-LOC	O	O	O
andere	O	O	O	O	O	O	O
Knechte	O	O	O	O	O	O	O
aus	O	O	O	O	O	O	O
nemlich	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Aposteln	O	B-LOC	O	O	O	O	O
die	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Heyden	O	B-LOC	O	O	O	O	O
berieffen	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Die	O	O	O	B-LOC	O	O	O
Schrifft	O	B-LOC	O	O	O	O	O
spricht	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Fort	O	O	O	B-LOC	O	O	O
;	O	O	O	B-PER	O	O	O
setzt	O	O	O	B-LOC	O	O	O
noch	O	O	O	O	O	O	O
einmahl	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Brilln	O	O	O	O	B-LOC	O	O
auff	O	O	O	O	O	O	O
vnd	O	O	O	B-PER	O	O	O
läst	O	O	O	O	O	O	O
mir	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
guter	O	O	O	O	O	O	O
Letzt	O	O	O	O	O	O	O
nachfolgende	O	O	O	B-LOC	O	O	O
Grabschrifft	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
einer	O	O	O	O	O	O	O
Gnad	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Gott	O	O	O	B-PER	O	B-PER	O
segne	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
freÿwillige	O	O	O	B-LOC	O	O	O
und	O	O	O	B-PER	O	O	O
freüdige	O	O	O	B-LOC	O	O	O
Wolthäter	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
Wolthäterinnen	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
welche	O	O	O	O	O	O	O
dieses	O	O	O	B-PER	O	O	O
Orgelwerck	O	O	O	B-LOC	O	O	O
befördert	O	O	O	B-PER	O	O	O
haben	O	O	O	O	O	O	O
,	O	O	O	B-LOC	O	O	O
so	O	O	O	B-PER	O	O	O
wohl	O	O	O	B-LOC	O	O	O
Anwesende	O	O	O	O	O	O	O
alß	O	O	O	B-PER	O	O	O
Abwesende	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
so	O	O	O	B-PER	O	O	O
wohl	O	O	O	B-LOC	O	O	O
hiesige	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
in	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
Frembde	O	B-LOC	O	O	O	O	O
lebende	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Jsrael	O	O	O	I-LOC	O	O	O
des	O	O	O	O	O	O	O
Neüen	O	O	O	O	O	O	O
Testaments	O	O	O	O	O	O	O
wird	O	O	O	B-PER	O	O	O
hertzlich	O	O	O	B-LOC	O	O	O
ermahnet	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
wolanständige	O	O	O	O	O	O	O
weise	O	O	O	O	O	O	O
beÿzubehalten	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
Gottes	O	O	O	O	O	O	O
Vollkommenheiten	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
Tugenden	O	O	O	O	O	O	O
zu	O	O	O	B-PER	O	O	O
erzehlen	O	O	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
wenn	O	O	O	B-PER	O	O	O
an	O	O	O	O	O	O	O
dich	O	O	O	O	O	O	O
gedenckt	O	O	O	B-LOC	O	O	O
ein	O	O	O	B-PER	O	O	O
reicher	O	O	O	B-LOC	O	O	O
Korn	O	O	O	O	O	B-PER	O
Jud	O	B-LOC	O	O	O	O	O
und	O	O	O	O	O	O	O
voller	O	O	O	B-PER	O	O	O
toller	O	O	O	B-LOC	O	O	O
Schwermer	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
Schlemmer	O	O	O	O	O	O	O
der	O	O	O	B-PER	O	O	O
guter	O	O	O	B-LOC	O	O	O
Tag	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
Nächt	O	O	O	B-LOC	O	O	O
ja	O	O	O	O	O	O	O
alles	O	O	O	O	O	O	O
genug	O	O	O	B-PER	O	O	O
hat	O	O	O	B-LOC	O	O	O
ohne	O	O	O	B-PER	O	O	O
Sorgen	O	O	O	O	O	O	O
lebt	O	O	O	B-LOC	O	O	O
